cell,type,class,sx,sy,px,py
FE_DBTC87_n_8284,INVx1_ASAP7_75t_SL,core,162,270,25578,28548
FE_DBTC86_n_7537,INVx2_ASAP7_75t_SL,core,216,270,20448,18288
FE_DBTC85_n_69,INVxp67_ASAP7_75t_L,core,162,270,24876,19098
FE_DBTC84_n_8265,INVx2_ASAP7_75t_SL,core,216,270,14454,20448
FE_DBTC83_n_8241,INVx2_ASAP7_75t_L,core,216,270,14670,23148
FE_DBTC82_n_8343,INVx1_ASAP7_75t_SL,core,162,270,24822,13698
FE_DBTC81_n_8235,INVx2_ASAP7_75t_SL,core,216,270,20340,15588
FE_DBTC80_n_8298,INVx1_ASAP7_75t_L,core,162,270,9108,23418
FE_DBTC79_n_8339,INVxp33_ASAP7_75t_R,core,162,270,19260,28008
FE_DBTC78_n_8282,INVx1_ASAP7_75t_SL,core,162,270,9864,24498
FE_DBTC77_n_8264,INVx1_ASAP7_75t_SL,core,162,270,28980,20178
FE_DBTC76_n_178,INVxp67_ASAP7_75t_R,core,162,270,25254,16668
FE_DBTC75_n_8309,INVxp67_ASAP7_75t_R,core,162,270,13860,22878
FE_DBTC74_n_8246,INVx2_ASAP7_75t_L,core,216,270,25956,27738
FE_DBTC73_n_8227,INVx1_ASAP7_75t_SL,core,162,270,19854,14238
FE_DBTC72_n_8225,INVx2_ASAP7_75t_SL,core,216,270,27846,16128
FE_DBTC71_n_8291,INVx1_ASAP7_75t_L,core,162,270,20232,18558
FE_DBTC70_n_8230,INVx1_ASAP7_75t_L,core,162,270,15372,24228
FE_DBTC69_n_8248,INVxp33_ASAP7_75t_R,core,162,270,27576,23688
FE_DBTC68_n_8240,INVxp33_ASAP7_75t_R,core,162,270,27306,23418
FE_DBTC67_n_8324,INVx1_ASAP7_75t_R,core,162,270,21474,23148
FE_DBTC66_n_7447,INVx1_ASAP7_75t_L,core,162,270,17478,23688
FE_DBTC65_n_8277,INVxp67_ASAP7_75t_SL,core,162,270,29142,20178
FE_DBTC64_n_8294,INVx1_ASAP7_75t_SL,core,162,270,11646,22068
FE_DBTC63_n_620,INVx1_ASAP7_75t_L,core,162,270,19044,16938
FE_DBTC62_n_1342,INVx2_ASAP7_75t_SL,core,216,270,23472,8298
FE_DBTC61_n_1350,INVx4_ASAP7_75t_SL,core,324,270,25146,35838
FE_DBTC60_n_1351,INVxp67_ASAP7_75t_L,core,162,270,33408,28818
FE_DBTC59_n_2435,INVx2_ASAP7_75t_SL,core,216,270,36864,10728
FE_DBTC58_n_2411,INVx2_ASAP7_75t_R,core,216,270,23148,4248
FE_DBTC57_n_2091,INVxp67_ASAP7_75t_R,core,162,270,8946,18288
FE_DBTC56_n_2056,INVx1_ASAP7_75t_L,core,162,270,23202,4518
FE_DBTC55_n_2393,INVx2_ASAP7_75t_SL,core,216,270,28980,6678
FE_DBTC54_n_2397,INVx3_ASAP7_75t_SL,core,270,270,38322,26928
FE_DBTC53_n_1542,INVx1_ASAP7_75t_SL,core,162,270,25740,35028
FE_DBTC52_n_2040,INVx2_ASAP7_75t_L,core,216,270,31086,11268
FE_DBTC51_n_1552,INVx2_ASAP7_75t_SL,core,216,270,9432,33948
FE_DBTC50_n_1557,INVx2_ASAP7_75t_SL,core,216,270,6624,30438
FE_DBTC49_n_1560,INVx4_ASAP7_75t_SL,core,324,270,7164,13698
FE_DBTC48_n_1566,INVx2_ASAP7_75t_L,core,216,270,4410,13968
FE_DBTC47_n_1569,INVx3_ASAP7_75t_SL,core,270,270,4410,13698
FE_DBTC46_n_1575,INVx2_ASAP7_75t_SL,core,216,270,33678,22608
FE_DBTC45_n_1577,INVx1_ASAP7_75t_R,core,162,270,9054,9108
FE_DBTC44_n_2080,INVx1_ASAP7_75t_L,core,162,270,28440,6408
FE_DBTC43_n_1589,INVx2_ASAP7_75t_SL,core,216,270,30654,34218
FE_DBTC42_n_1598,INVx1_ASAP7_75t_SL,core,162,270,13752,8028
FE_DBTC41_n_2387,INVx2_ASAP7_75t_SL,core,216,270,31842,11268
FE_DBTC40_n_1645,INVx3_ASAP7_75t_SL,core,270,270,32058,11268
FE_DBTC39_n_2401,INVx2_ASAP7_75t_R,core,216,270,8514,9378
FE_DBTC38_n_1656,INVx2_ASAP7_75t_R,core,216,270,34974,17208
FE_DBTC37_n_1659,INVx2_ASAP7_75t_SL,core,216,270,34488,18018
FE_DBTC36_n_2431,INVx2_ASAP7_75t_SL,core,216,270,30438,34218
FE_DBTC35_n_2459,INVx3_ASAP7_75t_SL,core,270,270,28602,6138
FE_DBTC34_n_2460,INVx2_ASAP7_75t_SL,core,216,270,24336,36648
FE_DBTC33_n_2479,INVx1_ASAP7_75t_L,core,162,270,28710,15858
FE_DBTC32_n_2811,INVx2_ASAP7_75t_SL,core,216,270,30870,33408
FE_DBTC31_n_3249,INVx1_ASAP7_75t_L,core,162,270,24930,6678
FE_DBTC30_n_1807,INVx2_ASAP7_75t_L,core,216,270,40158,20448
FE_DBTC29_n_1810,INVx2_ASAP7_75t_L,core,216,270,39942,20448
FE_DBTC28_n_1815,INVx2_ASAP7_75t_L,core,216,270,40158,20178
FE_DBTC27_n_1819,INVx1_ASAP7_75t_R,core,162,270,39834,20718
FE_DBTC26_n_7952,INVx2_ASAP7_75t_SL,core,216,270,19962,37998
FE_DBTC25_n_1828,INVxp67_ASAP7_75t_R,core,162,270,19800,38268
FE_DBTC24_n_1833,INVx2_ASAP7_75t_L,core,216,270,19584,37998
FE_DBTC23_n_1836,INVx2_ASAP7_75t_SL,core,216,270,16128,37188
FE_DBTC22_n_2112,INVx1_ASAP7_75t_SL,core,162,270,3708,15588
FE_DBTC21_n_2119,INVxp67_ASAP7_75t_L,core,162,270,24444,35568
FE_DBTC20_n_2144,INVx1_ASAP7_75t_SL,core,162,270,30330,10728
FE_DBTC19_n_2622,INVxp67_ASAP7_75t_SL,core,162,270,13482,6408
FE_DBTC18_n_2637,INVx1_ASAP7_75t_L,core,162,270,21258,35568
FE_DBTC17_n_2658,INVxp67_ASAP7_75t_R,core,162,270,37080,21258
FE_DBTC16_n_2798,INVx1_ASAP7_75t_L,core,162,270,9324,26388
FE_DBTC15_n_4318,INVxp67_ASAP7_75t_R,core,162,270,30168,15588
FE_DBTC14_n_8221,INVxp67_ASAP7_75t_L,core,162,270,26496,15048
FE_DBTC13_n_8239,INVx1_ASAP7_75t_SL,core,162,270,31248,16398
FE_DBTC12_n_8245,INVx2_ASAP7_75t_SL,core,216,270,25470,28008
FE_DBTC11_u0_n_31905,INVx2_ASAP7_75t_R,core,216,270,8946,17208
FE_DBTC10_u0_n_32080,INVx1_ASAP7_75t_L,core,162,270,9324,17208
FE_DBTC9_u0_n_32113,INVx2_ASAP7_75t_L,core,216,270,18774,32058
FE_DBTC8_u0_n_32160,INVx1_ASAP7_75t_SL,core,162,270,9162,17208
FE_DBTC7_u0_n_32174,INVx2_ASAP7_75t_SL,core,216,270,18342,32058
FE_DBTC6_u0_n_32208,INVx2_ASAP7_75t_L,core,216,270,13752,12618
FE_DBTC5_u0_n_32254,INVx1_ASAP7_75t_R,core,162,270,14022,12888
FE_DBTC4_u0_n_32273,INVx2_ASAP7_75t_SL,core,216,270,3978,25578
FE_DBTC3_u0_n_32306,INVx1_ASAP7_75t_R,core,162,270,4356,25578
FE_DBTC2_u0_n_32339,INVx2_ASAP7_75t_SL,core,216,270,19044,32328
FE_DBTC1_u0_n_32372,INVx1_ASAP7_75t_SL,core,162,270,3816,25308
FE_DBTC0_u0_n_32410,INVx3_ASAP7_75t_SL,core,270,270,14724,32058
g95647,INVx3_ASAP7_75t_SL,core,270,270,37890,21798
g95645,INVx5_ASAP7_75t_SL,core,378,270,38700,21258
g95662,INVx1_ASAP7_75t_SL,core,162,270,11538,23958
g95671,INVx2_ASAP7_75t_L,core,216,270,3708,18558
g95658,INVx3_ASAP7_75t_SL,core,270,270,27576,16128
g95656,INVx5_ASAP7_75t_SL,core,378,270,37458,10728
g95651,INVx4_ASAP7_75t_SL,core,324,270,25038,11538
g95639,INVx4_ASAP7_75t_SL,core,324,270,32166,15588
g95641,INVx2_ASAP7_75t_L,core,216,270,29520,17748
g95663,INVx3_ASAP7_75t_SL,core,270,270,33354,15858
g95652,INVx2_ASAP7_75t_SL,core,216,270,28926,10728
g95657,INVx4_ASAP7_75t_SL,core,324,270,22608,3978
g95669,INVx4_ASAP7_75t_SL,core,324,270,12726,8028
g95636,INVx5_ASAP7_75t_SL,core,378,270,8082,8838
g95668,INVx2_ASAP7_75t_SL,core,216,270,8784,18558
g95674,INVx3_ASAP7_75t_R,core,270,270,19638,9378
g95664,INVx5_ASAP7_75t_SL,core,378,270,23850,6138
g95638,INVx5_ASAP7_75t_SL,core,378,270,17748,3978
g95672,INVx2_ASAP7_75t_SL,core,216,270,29844,24228
g95666,INVx4_ASAP7_75t_SL,core,324,270,18126,3978
g95655,INVx2_ASAP7_75t_L,core,216,270,14832,27198
g95637,INVx2_ASAP7_75t_SL,core,216,270,22068,6948
g95650,INVx3_ASAP7_75t_SL,core,270,270,23526,10458
g95675,INVx4_ASAP7_75t_SL,core,324,270,7704,10998
g95670,INVx2_ASAP7_75t_R,core,216,270,29088,24498
g95673,INVx4_ASAP7_75t_SL,core,324,270,8136,9378
g95643,INVx4_ASAP7_75t_SL,core,324,270,25686,11538
g95659,INVx4_ASAP7_75t_SL,core,324,270,12942,9918
g95660,INVx2_ASAP7_75t_SL,core,216,270,26010,32058
g95665,INVx4_ASAP7_75t_SL,core,324,270,30762,23148
g95646,INVx2_ASAP7_75t_SL,core,216,270,20556,31248
g95653,INVx3_ASAP7_75t_L,core,270,270,29898,17478
g95648,INVx5_ASAP7_75t_SL,core,378,270,26172,12078
g95654,INVx5_ASAP7_75t_SL,core,378,270,14670,34488
g95644,INVx2_ASAP7_75t_SL,core,216,270,34488,17748
g95640,INVx5_ASAP7_75t_SL,core,378,270,10890,35568
g95649,INVx5_ASAP7_75t_SL,core,378,270,14724,11268
done_reg,DFFHQNx1_ASAP7_75t_R,core,1080,270,38862,10998
ld_r_reg,DFFHQNx1_ASAP7_75t_R,core,1080,270,9540,14778
sa10_reg[2],SDFHx4_ASAP7_75t_SL,core,1674,270,13482,19638
sa20_reg[6],SDFHx1_ASAP7_75t_SL,core,1350,270,19854,20988
sa23_reg[6],SDFHx1_ASAP7_75t_SL,core,1350,270,14724,32868
text_out_reg[0],SDFHx1_ASAP7_75t_R,core,1350,270,8568,23688
text_out_reg[1],SDFHx1_ASAP7_75t_R,core,1350,270,13968,18828
text_out_reg[2],SDFHx1_ASAP7_75t_R,core,1350,270,14670,20448
text_out_reg[3],SDFHx1_ASAP7_75t_R,core,1350,270,15048,18018
text_out_reg[4],SDFHx1_ASAP7_75t_R,core,1350,270,16020,25578
text_out_reg[5],SDFHx1_ASAP7_75t_R,core,1350,270,15912,26388
text_out_reg[6],SDFHx1_ASAP7_75t_R,core,1350,270,8622,23958
text_out_reg[7],SDFHx1_ASAP7_75t_R,core,1350,270,14778,19908
text_out_reg[8],SDFHx1_ASAP7_75t_R,core,1350,270,13428,24228
text_out_reg[9],SDFHx1_ASAP7_75t_R,core,1350,270,16668,32598
text_out_reg[10],SDFHx1_ASAP7_75t_R,core,1350,270,14832,23688
text_out_reg[11],SDFHx1_ASAP7_75t_R,core,1350,270,17316,23958
text_out_reg[12],SDFHx1_ASAP7_75t_R,core,1350,270,18558,25848
text_out_reg[13],SDFHx1_ASAP7_75t_R,core,1350,270,19098,27738
text_out_reg[14],SDFHx1_ASAP7_75t_R,core,1350,270,19098,31788
text_out_reg[15],SDFHx1_ASAP7_75t_R,core,1350,270,17046,23418
text_out_reg[16],SDFHx1_ASAP7_75t_R,core,1350,270,11700,23688
text_out_reg[17],SDFHx1_ASAP7_75t_R,core,1350,270,14292,21258
text_out_reg[18],SDFHx1_ASAP7_75t_R,core,1350,270,15480,22608
text_out_reg[19],SDFHx1_ASAP7_75t_R,core,1350,270,16290,25308
text_out_reg[20],SDFHx1_ASAP7_75t_R,core,1350,270,11592,26388
text_out_reg[21],SDFHx1_ASAP7_75t_R,core,1350,270,13590,26388
text_out_reg[22],SDFHx1_ASAP7_75t_R,core,1350,270,12726,24498
text_out_reg[23],SDFHx1_ASAP7_75t_R,core,1350,270,15318,22338
text_out_reg[24],SDFHx1_ASAP7_75t_R,core,1350,270,12834,23148
text_out_reg[25],SDFHx1_ASAP7_75t_R,core,1350,270,12672,28818
text_out_reg[26],SDFHx1_ASAP7_75t_R,core,1350,270,15588,23418
text_out_reg[27],SDFHx1_ASAP7_75t_R,core,1350,270,16182,24498
text_out_reg[28],SDFHx1_ASAP7_75t_R,core,1350,270,9486,24768
text_out_reg[29],SDFHx1_ASAP7_75t_R,core,1350,270,12726,26118
text_out_reg[30],SDFHx1_ASAP7_75t_R,core,1350,270,12456,27468
text_out_reg[31],SDFHx1_ASAP7_75t_R,core,1350,270,15210,23148
text_out_reg[32],SDFHx1_ASAP7_75t_R,core,1350,270,24390,19638
text_out_reg[33],SDFHx1_ASAP7_75t_R,core,1350,270,24228,13158
text_out_reg[34],SDFHx1_ASAP7_75t_R,core,1350,270,23796,14778
text_out_reg[35],SDFHx1_ASAP7_75t_R,core,1350,270,25308,17478
text_out_reg[36],SDFHx1_ASAP7_75t_R,core,1350,270,26010,21258
text_out_reg[37],SDFHx1_ASAP7_75t_R,core,1350,270,28818,20448
text_out_reg[38],SDFHx1_ASAP7_75t_R,core,1350,270,28008,19098
text_out_reg[39],SDFHx1_ASAP7_75t_R,core,1350,270,23850,17748
text_out_reg[40],SDFHx1_ASAP7_75t_R,core,1350,270,24714,18558
text_out_reg[41],SDFHx1_ASAP7_75t_R,core,1350,270,26010,14508
text_out_reg[42],SDFHx1_ASAP7_75t_R,core,1350,270,24228,17208
text_out_reg[43],SDFHx1_ASAP7_75t_R,core,1350,270,28548,17478
text_out_reg[44],SDFHx1_ASAP7_75t_R,core,1350,270,25848,22338
text_out_reg[45],SDFHx1_ASAP7_75t_R,core,1350,270,27414,22068
text_out_reg[46],SDFHx1_ASAP7_75t_R,core,1350,270,28602,22608
text_out_reg[47],SDFHx1_ASAP7_75t_R,core,1350,270,26658,17478
text_out_reg[48],SDFHx1_ASAP7_75t_R,core,1350,270,24768,18828
text_out_reg[49],SDFHx1_ASAP7_75t_R,core,1350,270,24822,12078
text_out_reg[50],SDFHx1_ASAP7_75t_R,core,1350,270,23526,15858
text_out_reg[51],SDFHx1_ASAP7_75t_R,core,1350,270,27360,17748
text_out_reg[52],SDFHx1_ASAP7_75t_R,core,1350,270,25848,21798
text_out_reg[53],SDFHx1_ASAP7_75t_R,core,1350,270,27576,23148
text_out_reg[54],SDFHx1_ASAP7_75t_R,core,1350,270,28278,19638
text_out_reg[55],SDFHx1_ASAP7_75t_R,core,1350,270,28440,18558
text_out_reg[56],SDFHx1_ASAP7_75t_R,core,1350,270,26550,18558
text_out_reg[57],SDFHx1_ASAP7_75t_R,core,1350,270,24930,12618
text_out_reg[58],SDFHx1_ASAP7_75t_R,core,1350,270,24984,16398
text_out_reg[59],SDFHx1_ASAP7_75t_R,core,1350,270,25632,14778
text_out_reg[60],SDFHx1_ASAP7_75t_R,core,1350,270,26226,19638
text_out_reg[61],SDFHx1_ASAP7_75t_R,core,1350,270,27090,24228
text_out_reg[62],SDFHx1_ASAP7_75t_R,core,1350,270,27468,23418
text_out_reg[63],SDFHx1_ASAP7_75t_R,core,1350,270,31680,16938
text_out_reg[64],SDFHx1_ASAP7_75t_R,core,1350,270,24498,27198
text_out_reg[65],SDFHx1_ASAP7_75t_R,core,1350,270,21744,27738
text_out_reg[66],SDFHx1_ASAP7_75t_R,core,1350,270,19044,27468
text_out_reg[67],SDFHx1_ASAP7_75t_R,core,1350,270,22176,10458
text_out_reg[68],SDFHx1_ASAP7_75t_R,core,1350,270,24498,23148
text_out_reg[69],SDFHx1_ASAP7_75t_R,core,1350,270,23364,25848
text_out_reg[70],SDFHx1_ASAP7_75t_R,core,1350,270,17370,25578
text_out_reg[71],SDFHx1_ASAP7_75t_R,core,1350,270,22500,11538
text_out_reg[72],SDFHx1_ASAP7_75t_R,core,1350,270,21312,28548
text_out_reg[73],SDFHx1_ASAP7_75t_R,core,1350,270,23148,29898
text_out_reg[74],SDFHx1_ASAP7_75t_R,core,1350,270,19476,28548
text_out_reg[75],SDFHx1_ASAP7_75t_R,core,1350,270,23850,23418
text_out_reg[76],SDFHx1_ASAP7_75t_R,core,1350,270,22176,24768
text_out_reg[77],SDFHx1_ASAP7_75t_R,core,1350,270,26658,25848
text_out_reg[78],SDFHx1_ASAP7_75t_R,core,1350,270,17478,26658
text_out_reg[79],SDFHx1_ASAP7_75t_R,core,1350,270,22770,25308
text_out_reg[80],SDFHx1_ASAP7_75t_R,core,1350,270,25038,28818
text_out_reg[81],SDFHx1_ASAP7_75t_R,core,1350,270,25740,29358
text_out_reg[82],SDFHx1_ASAP7_75t_R,core,1350,270,20880,25848
text_out_reg[83],SDFHx1_ASAP7_75t_R,core,1350,270,24552,22878
text_out_reg[84],SDFHx1_ASAP7_75t_R,core,1350,270,26820,24498
text_out_reg[85],SDFHx1_ASAP7_75t_R,core,1350,270,25362,27468
text_out_reg[86],SDFHx1_ASAP7_75t_R,core,1350,270,21636,26388
text_out_reg[87],SDFHx1_ASAP7_75t_R,core,1350,270,22662,24498
text_out_reg[88],SDFHx1_ASAP7_75t_R,core,1350,270,24606,27738
text_out_reg[89],SDFHx1_ASAP7_75t_R,core,1350,270,22608,30438
text_out_reg[90],SDFHx1_ASAP7_75t_R,core,1350,270,21042,27198
text_out_reg[91],SDFHx1_ASAP7_75t_R,core,1350,270,24930,23958
text_out_reg[92],SDFHx1_ASAP7_75t_R,core,1350,270,25470,24498
text_out_reg[93],SDFHx1_ASAP7_75t_R,core,1350,270,24606,26388
text_out_reg[94],SDFHx1_ASAP7_75t_R,core,1350,270,23256,30168
text_out_reg[95],SDFHx1_ASAP7_75t_R,core,1350,270,22554,25578
text_out_reg[96],SDFHx1_ASAP7_75t_R,core,1350,270,20286,18018
text_out_reg[97],SDFHx1_ASAP7_75t_R,core,1350,270,23202,18288
text_out_reg[98],SDFHx1_ASAP7_75t_R,core,1350,270,14130,18288
text_out_reg[99],SDFHx1_ASAP7_75t_R,core,1350,270,18126,13968
text_out_reg[100],SDFHx1_ASAP7_75t_R,core,1350,270,17694,17208
text_out_reg[101],SDFHx1_ASAP7_75t_R,core,1350,270,17478,19638
text_out_reg[102],SDFHx1_ASAP7_75t_R,core,1350,270,16668,20988
text_out_reg[103],SDFHx1_ASAP7_75t_R,core,1350,270,18072,15318
text_out_reg[104],SDFHx1_ASAP7_75t_R,core,1350,270,19908,18828
text_out_reg[105],SDFHx1_ASAP7_75t_R,core,1350,270,23796,19368
text_out_reg[106],SDFHx1_ASAP7_75t_R,core,1350,270,20340,22878
text_out_reg[107],SDFHx1_ASAP7_75t_R,core,1350,270,19476,13968
text_out_reg[108],SDFHx1_ASAP7_75t_R,core,1350,270,20124,23148
text_out_reg[109],SDFHx1_ASAP7_75t_R,core,1350,270,18342,22338
text_out_reg[110],SDFHx1_ASAP7_75t_R,core,1350,270,17964,23148
text_out_reg[111],SDFHx1_ASAP7_75t_R,core,1350,270,22446,18018
text_out_reg[112],SDFHx1_ASAP7_75t_R,core,1350,270,22338,17208
text_out_reg[113],SDFHx1_ASAP7_75t_R,core,1350,270,22554,19638
text_out_reg[114],SDFHx1_ASAP7_75t_R,core,1350,270,21528,19908
text_out_reg[115],SDFHx1_ASAP7_75t_R,core,1350,270,19152,15048
text_out_reg[116],SDFHx1_ASAP7_75t_R,core,1350,270,18018,20988
text_out_reg[117],SDFHx1_ASAP7_75t_R,core,1350,270,20772,20448
text_out_reg[118],SDFHx1_ASAP7_75t_R,core,1350,270,20232,19098
text_out_reg[119],SDFHx1_ASAP7_75t_R,core,1350,270,18126,17478
text_out_reg[120],SDFHx1_ASAP7_75t_R,core,1350,270,20826,16938
text_out_reg[121],SDFHx1_ASAP7_75t_R,core,1350,270,21960,9918
text_out_reg[122],SDFHx1_ASAP7_75t_R,core,1350,270,20664,11538
text_out_reg[123],SDFHx1_ASAP7_75t_R,core,1350,270,22284,14778
text_out_reg[124],SDFHx1_ASAP7_75t_R,core,1350,270,18126,19368
text_out_reg[125],SDFHx1_ASAP7_75t_R,core,1350,270,19044,20718
text_out_reg[126],SDFHx1_ASAP7_75t_R,core,1350,270,18018,18828
text_out_reg[127],SDFHx1_ASAP7_75t_R,core,1350,270,21042,15588
g211727__2398,AO221x1_ASAP7_75t_SL,core,540,270,20016,35838
g211731__5107,AO221x1_ASAP7_75t_SL,core,540,270,18018,32598
g211732__6260,AO21x1_ASAP7_75t_SL,core,324,270,19368,34218
g211733__4319,NAND3x1_ASAP7_75t_SL,core,594,270,19692,32868
g211738__8428,NAND2x1_ASAP7_75t_SL,core,324,270,20232,33948
g211739__5526,AO21x2_ASAP7_75t_SL,core,378,270,19314,32868
g211740__6783,AO21x1_ASAP7_75t_SL,core,324,270,18450,32868
g211741__3680,AOI21xp5_ASAP7_75t_SL,core,270,270,19962,33948
g211742,INVxp67_ASAP7_75t_SL,core,162,270,26820,25578
g211743__1617,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,17262,34488
g211744__2802,AO21x1_ASAP7_75t_SL,core,324,270,20556,36108
g211745__1705,NAND2xp5_ASAP7_75t_L,core,216,270,18666,33138
g211746__5122,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,20070,35568
g211747__8246,NAND4xp25_ASAP7_75t_SL,core,324,270,19152,34488
g211748__7098,OAI321xp33_ASAP7_75t_SL,core,432,270,16938,36108
g211749__6131,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,20124,34758
g211750__1881,OAI21xp5_ASAP7_75t_SL,core,270,270,19044,32868
g211751__5115,OAI211xp5_ASAP7_75t_SL,core,324,270,17694,35028
g211752__7482,OAI221xp5_ASAP7_75t_SL,core,378,270,19206,36648
g211753__4733,OAI211xp5_ASAP7_75t_SL,core,324,270,18720,36108
g211754__6161,OAI211xp5_ASAP7_75t_SL,core,324,270,18504,37188
g211755__9315,AOI21xp5_ASAP7_75t_SL,core,270,270,19476,33138
g211756__9945,AOI21xp5_ASAP7_75t_SL,core,270,270,19746,33138
g211757__2883,OAI211xp5_ASAP7_75t_SL,core,324,270,19692,35838
g211758__2346,AOI22xp33_ASAP7_75t_SL,core,324,270,18450,33678
g211759__1666,OAI221xp5_ASAP7_75t_SL,core,378,270,17586,33678
g211760__7410,AOI221xp5_ASAP7_75t_L,core,378,270,16938,34758
g211761__6417,OAI321xp33_ASAP7_75t_L,core,432,270,20178,37188
g211762__5477,AOI22xp33_ASAP7_75t_SL,core,324,270,17964,37458
g211763__2398,AOI22xp5_ASAP7_75t_SL,core,324,270,18126,36378
g211764__5107,OAI221xp5_ASAP7_75t_L,core,378,270,18072,32868
g211765__6260,AOI221xp5_ASAP7_75t_L,core,378,270,17154,33408
g211766__4319,AOI22xp33_ASAP7_75t_SL,core,324,270,16614,34758
g211767__8428,AOI22xp33_ASAP7_75t_L,core,324,270,18072,36918
g211768__5526,OAI331xp33_ASAP7_75t_L,core,486,270,18180,33138
g211769__6783,OAI21xp5_ASAP7_75t_L,core,270,270,17856,36378
g211770__3680,A2O1A1Ixp33_ASAP7_75t_R,core,324,270,16938,34488
g211771__1617,AOI21xp5_ASAP7_75t_L,core,270,270,17154,32868
g211772__2802,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,17748,35298
g211773__1705,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,19584,36108
g211774__5122,OAI21xp33_ASAP7_75t_L,core,270,270,18774,32868
g211775__8246,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,16506,36378
g211776__7098,OAI21xp33_ASAP7_75t_R,core,270,270,19476,34488
g211777__6131,AOI31xp33_ASAP7_75t_L,core,324,270,19314,34758
g211778__1881,AO21x1_ASAP7_75t_SL,core,324,270,18396,36108
g211779__5115,AOI21xp33_ASAP7_75t_L,core,270,270,20340,37458
g211780__7482,AO21x1_ASAP7_75t_SL,core,324,270,18288,35838
g211781__4733,OAI21xp33_ASAP7_75t_R,core,270,270,17748,37188
g211782__6161,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,18828,34488
g211783__9315,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,19368,33408
g211784__9945,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,16722,35838
g211785__2883,AOI22xp5_ASAP7_75t_SL,core,324,270,17316,35028
g211786__2346,AOI211xp5_ASAP7_75t_SL,core,324,270,19854,35028
g211787__1666,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,19692,33408
g211788__7410,OAI21xp33_ASAP7_75t_L,core,270,270,19800,35568
